発生日,取引先,税込金額,摘要,インボイス登録番号,仕訳,ファイル名
2024/11/20,正月絹,4490,牛すき焼きうどん等の飲食代,なし,交際費,241230003433523.JPG
2024/11/23,ケイエム大箱根自動車株式会社,800,タクシー運賃,T102100103208,旅費交通費,241230003043964.JPG
2024/11/16,沖縄食堂きじむなーの家,1900,飲食代 (オリオン生ビール、シークワーサーサワー、島らっきょう),T13600010229880,交際費,241230002639837.JPG
2024/11/16,ひばりタクシー株式会社,1130,タクシー利用料,T1-1800-0102-6843,旅費交通費,241230002420474.JPG
2024/11/02,Basis Point新橋店,2060,コワーキングスペース利用料,T3010701026620,会議費,241230003333235.JPG
2023/11/21,KASHO SANZEN,1000,青の搾汁4ケ入,T301110104262,消耗品費,241230002933876.JPG
2020/11/30,Google Asia Pacific Pte. Ltd.,7181,Google Workspace Business Standard,なし,通信費,202411 - Google Account.pdf_page1
2024/11/27,日本郵便株式会社,480,郵便物引受,T100-8792,通信費,241230003137970.JPG2024/11/01,Google Asia Pacific Pte. Ltd.,7181,Google Workspace利用料,T4700150000845,通信費,202411 - Google Account.pdf
2024/11/25,GO株式会社,2700,タクシー利用料金,T201150101589G,旅費交通費,GO領収書_20241125_1639.pdf
2024/11/01,GO株式会社,1400,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20241101_1710.pdf
2024/11/27,GO株式会社,800,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20241127_1911.pdf
2024/11/17,GO株式会社,1520,タクシー料金,T201150101589G,旅費交通費,GO領収書_20241117_1715.pdf
2024/11/16,GO株式会社,1220,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20241116_1259.pdf
2024/11/26,GO株式会社,1100,タクシー料金,T2011501015896,旅費交通費,GO領収書_20241126_2200.pdf
2025/01/04,ヘルステックハブ株式会社,23400,コンフォートホテル四日市 宿泊代（2泊）,T9010401053430,旅費交通費,一休.com宿泊領収書_2024年11月26日15時00分.pdf
2024/11/01,GO株式会社,1670,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20241101_1305.pdf
2024/11/20,GO株式会社,600,タクシー料金,T201150101589６,旅費交通費,GO領収書_20241120_1447.pdf
2024/12/30,ヘルステックハブ株式会社,2500,書籍「愛されるデザイン」購入,T5011101021978,消耗品費,receipt_7471934018.pdf
2024/11/02,GO株式会社,1200,タクシー料金,T201150101589G,旅費交通費,GO領収書_20241102_1332.pdf
2024/11/22,GO株式会社,1300,タクシー利用料金,T201150101589G,旅費交通費,GO領収書_20241122_1601.pdf
2024/11/01,GO株式会社,960,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20241101_1406.pdf
2024/11/11,GO株式会社,1200,タクシー料金（GO乗車）,T2011501015896,旅費交通費,GO領収書_20241111_0743.pdf
2024/11/16,Anthropic,20,Claude Pro 1ヶ月利用料,T250-0013,支払手数料,Anthropic - 記載済み.pdf
2024/12/30,ヘルステックハブ株式会社,7150,医療関連書籍2冊購入（在宅医療ハンドブック、医療の概念と実践）,T5011101021978,消耗品費,receipt_7471909958.pdf
2024/11/20,GO株式会社,1200,タクシー利用料金（GO決済）,T2011501015896,旅費交通費,GO領収書_20241120_1249.pdf
2024/10/28,東横INN近鉄四日市駅北口,35600,宿泊代 (4泊分),T8010801008365,旅費交通費,東横INN近鉄四日市駅北口 - 20241111-14.pdf
2024/11/17,GO株式会社,2030,タクシー利用料金,T201150101589６,旅費交通費,GO領収書_20241117_1421.pdf
2024/11/01,GO株式会社,1000,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20241101_2258.pdf
2024/11/08,株式会社JR東日本ビルデイング,2475,STATION WORK 利用料金（大船駅BOOTH3、12:45-15:00）,T6010001094217,支払手数料,receiptPdf_2024110723161546.pdf
2024/11/09,GO株式会社,1500,タクシー料金,T2011501015896,旅費交通費,GO領収書_20241109_1249.pdf
2024/11/22,GO株式会社,3800,タクシー利用料金,T201150101589G,旅費交通費,GO領収書_20241122_1802.pdf
2024/11/18,GO株式会社,800,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20241118_2045.pdf
2024/11/01,"OpenAI, LLC",20,ChatGPT Plus 月額サブスクリプション料金,なし,通信費,OpenAI - 記載済み.pdf
2024/11/22,GO株式会社,900,タクシー利用料金,T201150101589G,旅費交通費,GO領収書_20241122_2259.pdf
2024/11/08,GO株式会社,500,タクシー料金（GO）,T2011501015896,旅費交通費,GO領収書_20241108_1510.pdf
2024/11/15,GO株式会社,950,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20241115_2155.pdf
2024/11/28,GO株式会社,700,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20241128_2113.pdf
2024/11/20,"GitHub, Inc.",11,GitHub Copilot 1ヶ月分の利用料,なし,支払手数料,github-mmineno-receipt-2024-11-20 - 記載済み.pdf
2024/11/25,GO株式会社,1200,タクシー利用料金,T201150101589G,旅費交通費,GO領収書_20241125_0843.pdf
2024/11/23,GO株式会社,1200,タクシー料金,T201150101589,旅費交通費,GO領収書_20241123_1047.pdf
2024/11/26,株式会社JR東日本ビルディング,1375,STATION WORK利用料金（小田原駅ブース利用）,T6010001094217,旅費交通費,receiptPdf_2024112601563807.pdf
2024/11/22,GO株式会社,1800,タクシー利用料金,T201150101589G,旅費交通費,GO領収書_20241122_1040.pdf
2024/11/07,GO株式会社,800,タクシー料金,T2011501015896,旅費交通費,GO領収書_20241107_2110.pdf
