発生日,取引先,税込金額,摘要,インボイス登録番号,仕訳,ファイル名
2025/01/03,TIVOLI ミナカ小田原店,1080,ケーキ（ヘーゼルナッツ）購入,T9-0210-0103-2518,交際費,250211213416342.JPG
2025/01/20,東海旅客鉄道株式会社,3280,JR乗車券2枚購入,T31600001031569,旅費交通費,250211213237301.JPG
2025/01/01,"OpenAI, LLC",2200,ChatGPT Plus 月額サブスクリプション料金,T470015012789,通信費,"OpenAI2025年1月分・Receipt-2185-5121-3,468円.pdf"
2025/01/18,鳥貴族 大船東口店,5550,居酒屋での飲食代（15品）,T1-1200-0116-0730,交際費,250211213104846.JPG
2025/01/09,GO株式会社,900,タクシー料金 (神奈川県小田原市城山丁目→南町1丁目),T2011501015896,旅費交通費,GO領収書_20250109_2229.pdf
2025/01/11,薬膳喫茶KURA,7200,飲食代,T2021001058627,会議費,250211213331298.JPG
2025/01/17,東海旅客鉄道株式会社,3280,JR乗車券購入 (小田原駅発行),T3180001031569,旅費交通費,250211213224695.JPG
2025/01/23,東海旅客鉄道株式会社,6560,JR乗車券4枚購入（小田原駅MV821発行）,T3180001031569,旅費交通費,250211213517629.JPG
2025/01/21,GO株式会社,1600,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20250121_1334.pdf
2025/01/20,東日本旅客鉄道株式会社,3280,JR東車券類 2枚購入 (浜松町駅VF1発行),T9011001029557,旅費交通費,250211213225832.JPG
2025/01/16,GO株式会社,900,タクシー利用料金,T201150101589,旅費交通費,GO領収書_20250116_2254.pdf
2025/01/17,東日本旅客鉄道株式会社,3280,JR乗車券2枚購入,T9011001029597,旅費交通費,250211213229403.JPG
2025/01/16,東海旅客鉄道株式会社,3280,JR東海券購入（切符2枚）,T31880010315C7,旅費交通費,250211213318368.JPG
2025/01/06,GO株式会社,800,タクシー利用料,T201150101589G,旅費交通費,GO領収書_20250106_1937.pdf
2025/01/24,東日本旅客鉄道株式会社,3280,JR乗車券2枚購入（浜松町駅にて発行）,T9011001029557,旅費交通費,250211213207707.JPG
