発生日,取引先,税込金額,摘要,インボイス登録番号,仕訳,ファイル名
2025/01/04,株式会社一休,36005,JR東日本ホテルメッツプレミア幕張豊砂 宿泊代,T9010401053430,旅費交通費,一休.com宿泊領収書_2024年12月21日23時00分.pdf
2024/12/21,レストラン キルン,1730,飲食代,T3-1800-0113-7300,交際費,241230005904145.JPG
2024/12/02,GO株式会社,800,タクシー料金,T201150101589G,旅費交通費,GO領収書_20241202_2222.pdf
2024/12/11,東日本旅客鉄道株式会社,3280,JR乗車券2枚購入,T9011001029597,旅費交通費,241230010003624.JPG
2024/12/23,GO株式会社,1100,タクシー料金,T201150101589G,旅費交通費,GO領収書_20241223_0847.pdf
2024/12/10,東海旅客鉄道株式会社,6560,JR乗車券4枚購入,T3180001031569,旅費交通費,241230010038873.JPG
2024/12/21,東海旅客鉄道株式会社,11300,乗車券購入（名古屋駅）,T3180001031569,旅費交通費,241230010048402.JPG
2024/01/13,大阪国書刊株式会社,900,商品購入,T4021003289,消耗品費,241230005745726.JPG
2024/12/12,東海旅客鉄道株式会社,3280,JR乗車券2枚購入（小田原駅発行）,T3160001031569,旅費交通費,241230005956633.JPG
2024/12/22,GRANSTA TOKYO (株式会社JR東日本クロスステーション),3800,飲食代（ラーメン、餃子等）,T30111010426662,会議費,241230005513718.JPG
2024/12/17,八重,900,飲食代,T3180000315,会議費,241230005727015.JPG
2024/12/11,GO株式会社,800,タクシー料金,T201150101589G,旅費交通費,GO領収書_20241211_2020.pdf
2006/12/04,鳥やき鳥料理 香万,9910,飲食代,T6810080026117,交際費,241230010313668.JPG
2024/12/04,サルバドルカフェ アンド バール 千葉店,7073,飲食代,なし,交際費,241230010205383.JPG
2024/12/30,株式会社一休,62820,モンブランホテルラフィネ名古屋駅前 宿泊代,T9010401053430,旅費交通費,一休.com宿泊領収書_2024年12月18日15時00分.pdf
2024/12/12,GO株式会社,800,タクシー料金,T2011501015896,旅費交通費,GO領収書_20241212_2110.pdf
2024/12/16,レストラン売,5550,飲食代（鉄板焼き、寿司等の食事）,T1-1200-0116-0730,交際費,241230005357114.JPG
2024/12/16,西中洲,3280,飲食代,T3800013156,交際費,241230005732341.JPG
2024/12/17,PayPay,800,決済手数料,T001-0557-1741,支払手数料,241230005811556.JPG
2024/12/03,東海旅客鉄道株式会社,3610,JR乗車券（小田原駅発行）,T31800010315,旅費交通費,241230010322664.JPG
2024/12/29,GO株式会社,800,タクシー料金,T201150101589,旅費交通費,GO領収書_20241229_1826.pdf
2024/12/22,東海旅客鉄道株式会社,3740,乗車券（クレジット払い）,T31800001031569,旅費交通費,241230005441502.JPG
2024/12/12,東日本旅客鉄道株式会社,3280,JR乗車券2枚購入,T9011001029597,旅費交通費,241230005946395.JPG
2024/12/13,東日本旅客鉄道株式会社,3280,JR乗車券類2枚（浜松町駅発行）,T9011001029597,旅費交通費,241230005933534.JPG
2024/12/26,JR東日本,3280,JR乗車券,なし,旅費交通費,241230010133170.JPG
2024/12/11,Cafe and BAR アンプロ,2200,飲食代,T8-8104-8322,会議費,241230005716730.JPG
2024/12/09,東海旅客鉄道株式会社,3280,JR乗車券2枚購入 小田原駅発行,T3180001031569,旅費交通費,241230010029249.JPG
2024/12/20,がブリチキン。名駅3丁目店,9240,飲食代（料理・ドリンク代）,T4010001192492,交際費,241230005406406.JPG
2024/12/20,アピタ四日市ショップ,3256,商品購入,T3190001015455,消耗品費,241230005650038.JPG
2024/12/06,GO株式会社,1100,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20241206_1416.pdf
2024/12/02,GO株式会社,1000,タクシー料金,T2011501015896,旅費交通費,GO領収書_20241202_0847.pdf
2024/12/09,東日本旅客鉄道株式会社,3280,JR乗車券2枚購入,T9011001029597,旅費交通費,241230010018455.JPG
2024/12/22,Km,900,飲食代,T121000028608,交際費,241230005823745.JPG
2024/12/13,GO株式会社,1100,タクシー利用料金,T201150101589G,旅費交通費,GO領収書_20241213_0950.pdf
2024/12/19,スパゲティハウスチャオ太閤通口店,1710,飲食代,T7180001070522,交際費,241230005917153.JPG
2024/12/19,JR東日本,478,電車切符 (南砂町→両国),T5120011856229,旅費交通費,241230005655976.JPG
2024/12/21,DRESSY CAFE,3036,カフェでの飲食（濃厚フルーツソースのオムライスとお花のアサイーボウル）,T6501113504,会議費,241230005425597.JPG
2024/12/14,GO株式会社,1200,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20241214_1223.pdf
