"識別フラグ","伝票No","決算","取引日付","借方勘定科目","借方補助科目","借方部門","借方税区分","借方金額","借方税金額","貸方勘定科目","貸方補助科目","貸方部門","貸方税区分","貸方金額","貸方税金額","摘要","番号","期日","タイプ","生成元","仕訳メモ","付箋1","付箋2","調整","借方取引先名","貸方取引先名"
"2000","","","2024/01/20","通信費","","","","1512","137","現金","","","","1512","","GitHub Copilotサブスクリプション（2024年1","","","","","","0","","","GitHub, Inc.","GitHub, Inc."
"2000","","","2024/01/27","通信費","","","","3013","274","現金","","","","3013","","ChatGPT Plus Subscription","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/02/05","通信費","","","","470","42","現金","","","","470","","証紙切手引受および簡 [インボイス:T10100011125","","","","","","0","","","日本郵便株式会社","日本郵便株式会社"
"2000","","","2024/02/20","通信費","","","","1526","139","現金","","","","1526","","GitHub Copilotサブスクリプション料（2024/","","","","","","0","","","GitHub, Inc.","GitHub, Inc."
"2000","","","2024/02/27","通信費","","","","3064","279","現金","","","","3064","","ChatGPT Plus Subscription (Feb","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/02/29","通信費","","","","3853","350","現金","","","","3853","","home wifi  [インボイス:T10100010679","","","","","","0","","","株式会社NTTドコモ","株式会社NTTドコモ"
"2000","","","2024/03/06","通信費","","","","490","44","現金","","","","490","","証紙切手引受・特殊取 [インボイス:T10100011125","","","","","","0","","","日本郵便株式会社","日本郵便株式会社"
"2000","","","2024/03/16","通信費","","","","3033","276","現金","","","","3033","","Claude Pro サブスクリプション (Mar 16 -","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/03/20","通信費","","","","1535","140","現金","","","","1535","","GitHub Copilotサブスクリプション（2024/0","","","","","","0","","","GitHub, Inc.","GitHub, Inc."
"2000","","","2024/04/01","通信費","","","","3103","282","現金","","","","3103","","ChatGPT Plus Subscription (202","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/04/16","通信費","","","","3158","287","現金","","","","3158","","Claude Pro 月額サブスクリプション (Apr 16","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/04/20","通信費","","","","1581","144","現金","","","","1581","","GitHub Copilot月額サブスクリプション","","","","","","0","","","GitHub, Inc.","GitHub, Inc."
"2000","","","2024/04/30","通信費","","","","3852","350","現金","","","","3852","","home wifi  [インボイス:T10100010679","","","","","","0","","","株式会社NTTドコモ","株式会社NTTドコモ"
"2000","","","2024/05/01","通信費","","","","3219","293","現金","","","","3219","","ChatGPT Plus Subscription (202","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/05/16","通信費","","","","3201","291","現金","","","","3201","","Claude Pro サブスクリプション（2024年5月16","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/06/01","通信費","","","","3217","292","現金","","","","3217","","ChatGPT Plus サブスクリプション (Jun 1 ","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/06/16","通信費","","","","3236","294","現金","","","","3236","","Claude Pro サブスクリプション（1ヶ月分）","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/07/01","通信費","","","","3853","350","現金","","","","3853","","home wifi  [インボイス:T10100010679","","","","","","0","","","株式会社NTTドコモ","株式会社NTTドコモ"
"2000","","","2024/07/01","通信費","","","","3307","301","現金","","","","3307","","ChatGPT Plus Subscription (Jul","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/07/16","通信費","","","","3239","294","現金","","","","3239","","Claude Pro サブスクリプション (7月16日-8月","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/08/01","通信費","","","","3084","280","現金","","","","3084","","ChatGPT Plus Subscription (Aug","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/08/16","通信費","","","","3054","278","現金","","","","3054","","Claude Pro サブスクリプション (2024年8月1","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/09/01","通信費","","","","2990","272","現金","","","","2990","","ChatGPT Plus サブスクリプション (2024年9","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/09/02","通信費","","","","3853","350","現金","","","","3853","","home wifi  [インボイス:T10100010679","","","","","","0","","","株式会社NTTドコモ","株式会社NTTドコモ"
"2000","","","2024/09/16","通信費","","","","2900","264","現金","","","","2900","","Claude Pro サブスクリプション（9月16日～10月","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/09/16","通信費","","","","1180","107","現金","","","","1180","","配送料 [インボイス:T8130001000053]","","","","","","0","","","佐川急便 小田原営業所","佐川急便 小田原営業所"
"2000","","","2024/09/20","通信費","","","","1472","134","現金","","","","1472","","GitHub Copilot 月額サブスクリプション","","","","","","0","","","GitHub, Inc.","GitHub, Inc."
"2000","","","2024/10/31","通信費","","","","3853","350","現金","","","","3853","","home wifi  [インボイス:T10100010679","","","","","","0","","","株式会社NTTドコモ","株式会社NTTドコモ"
"2000","","","2024/01/02","旅費交通費","","","","2000","181","現金","","","","2000","","特急券","","","","","","0","","","小田急電鉄 新宿駅","小田急電鉄 新宿駅"
"2000","","","2024/01/18","旅費交通費","","","","2720","247","現金","","","","2720","","特急券","","","","","","0","","","小田急電鉄","小田急電鉄"
"2000","","","2024/01/19","旅費交通費","","","","650","59","現金","","","","650","","特急券","","","","","","0","","","小田急電鉄","小田急電鉄"
"2000","","","2024/01/19","旅費交通費","","","","3280","298","現金","","","","3280","","JR東車券　新幹線 [インボイス:T319000101560","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/01/23","旅費交通費","","","","3280","298","現金","","","","3280","","JR乗車券　新幹線 [インボイス:T901100102959","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/01/27","旅費交通費","","","","3100","282","現金","","","","3100","","電車代 [インボイス:T1318000103756]","","","","","","0","","","JR東日本","JR東日本"
"2000","","","2024/02/19","旅費交通費","","","","1160","105","現金","","","","1160","","タクシー利用 [インボイス:T201150101589]","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/02/19","旅費交通費","","","","780","71","現金","","","","780","","タクシー利用料金 [インボイス:T201501015896]","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/02/22","旅費交通費","","","","900","82","現金","","","","900","","タクシー利用料金 [インボイス:T2011501015896","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/02/22","旅費交通費","","","","900","81","現金","","","","900","","タクシー代 [インボイス:T5020001010586]","","","","","","0","","","真金タクシー株式会社","真金タクシー株式会社"
"2000","","","2024/02/22","旅費交通費","","","","690","63","現金","","","","690","","タクシー代 [インボイス:T4021001032869]","","","","","","0","","","太陽自動車株式会社","太陽自動車株式会社"
"2000","","","2024/02/26","旅費交通費","","","","1880","171","現金","","","","1880","","タクシー利用料金 [インボイス:T2011501015896","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/02/26","旅費交通費","","","","1880","171","現金","","","","1880","","タクシー料金 [インボイス:T2080101000154]","","","","","","0","","","伊豆箱根交通株式会社","伊豆箱根交通株式会社"
"2000","","","2024/02/26","旅費交通費","","","","1770","161","現金","","","","1770","","タクシー代 [インボイス:T1021002050303]","","","","","","0","","","門川ハイヤー有限会社","門川ハイヤー有限会社"
"2000","","","2024/02/27","旅費交通費","","","","3280","298","現金","","","","3280","","JR東海車両券 [インボイス:T0103156]","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/02/29","旅費交通費","","","","710","65","現金","","","","710","","タクシー利用料金 [インボイス:T2011501015896","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/03/01","旅費交通費","","","","6560","596","現金","","","","6560","","JR乗車券購入 [インボイス:T3180001031569]","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/04","旅費交通費","","","","3280","298","現金","","","","3280","","JR乗車券類 [インボイス:T3180001031563]","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/04","旅費交通費","","","","3280","298","現金","","","","3280","","JR乗車券類購入 [インボイス:T9011001029597","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/03/05","旅費交通費","","","","6560","596","現金","","","","6560","","JR乗車券購入(20 [インボイス:T31300010315","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/05","旅費交通費","","","","6560","596","現金","","","","6560","","JR東車券類 (20 [インボイス:T31800010315","","","","","","0","","","東海旅客鉄道株式会社 小田原駅","東海旅客鉄道株式会社 小田原駅"
"2000","","","2024/03/06","旅費交通費","","","","3036","276","現金","","","","3036","","小田原 - 東京往復 [インボイス:T90110010295","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/03/06","旅費交通費","","","","356","32","現金","","","","356","","東京 - 本郷三丁目 [インボイス:T40105010228","","","","","","0","","","東京地下鉄株式会社","東京地下鉄株式会社"
"2000","","","2024/03/13","旅費交通費","","","","18600","1691","現金","","","","18600","","JR乗車券購入(2枚 [インボイス:T31800010315","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/14","旅費交通費","","","","3036","276","現金","","","","3036","","小田原 - 東京往復 [インボイス:T90110010295","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/03/14","旅費交通費","","","","356","32","現金","","","","356","","東京 - 本郷三丁目 [インボイス:T40105010228","","","","","","0","","","東京地下鉄株式会社","東京地下鉄株式会社"
"2000","","","2024/03/17","旅費交通費","","","","3280","298","現金","","","","3280","","JR乗車券類(201 [インボイス:T31300010315","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/17","旅費交通費","","","","3280","298","現金","","","","3280","","JR乗車券類(401 [インボイス:T90110010295","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/03/18","旅費交通費","","","","800","73","現金","","","","800","","タクシー料金 [インボイス:T2011501015896]","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/03/19","旅費交通費","","","","6560","596","現金","","","","6560","","JR乗車券類 4枚  [インボイス:T31800010315","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/20","旅費交通費","","","","6560","596","現金","","","","6560","","JR乗車券類4枚 [インボイス:T3180001031569","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/21","旅費交通費","","","","3036","276","現金","","","","3036","","小田原 - 東京往復 [インボイス:T90110010295","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/03/21","旅費交通費","","","","356","32","現金","","","","356","","東京 - 本郷三丁目 [インボイス:T40105010228","","","","","","0","","","東京地下鉄株式会社","東京地下鉄株式会社"
"2000","","","2024/03/22","旅費交通費","","","","6560","596","現金","","","","6560","","JR乗車券2枚 [インボイス:T3180001031569]","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/26","旅費交通費","","","","6560","596","現金","","","","6560","","JR乗車券 [インボイス:T3180001031569]","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/25","旅費交通費","","","","3036","276","現金","","","","3036","","小田原 - 東京往復 [インボイス:T90110010295","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/03/25","旅費交通費","","","","356","32","現金","","","","356","","東京 - 本郷三丁目 [インボイス:T40105010228","","","","","","0","","","東京地下鉄株式会社","東京地下鉄株式会社"
"2000","","","2024/04/03","旅費交通費","","","","6560","596","現金","","","","6560","","JR乗車券 [インボイス:T3180001031569]","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/04/03","旅費交通費","","","","3036","276","現金","","","","3036","","小田原 - 東京往復 [インボイス:T90110010295","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/04/10","旅費交通費","","","","6560","596","現金","","","","6560","","JR乗車券 [インボイス:T3180001031569]","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/04/10","旅費交通費","","","","3036","276","現金","","","","3036","","小田原 - 東京往復 [インボイス:T90110010295","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/04/17","旅費交通費","","","","6560","596","現金","","","","6560","","JR乗車券 [インボイス:T3180001031569]","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/04/17","旅費交通費","","","","3036","276","現金","","","","3036","","小田原 - 東京往復 [インボイス:T90110010295","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/04/18","旅費交通費","","","","3100","282","現金","","","","3100","","JR東車券 2枚 [インボイス:T3189901971569","","","","","","0","","","JR東日本","JR東日本"
"2000","","","2024/04/18","旅費交通費","","","","3100","282","現金","","","","3100","","乗車券 [インボイス:T3180001031569]","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/04/24","旅費交通費","","","","6560","596","現金","","","","6560","","JR乗車券 [インボイス:T3180001031569]","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/04/24","旅費交通費","","","","3036","276","現金","","","","3036","","小田原 - 東京往復 [インボイス:T90110010295","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/04/26","旅費交通費","","","","3280","298","現金","","","","3280","","JR乗車券類 [インボイス:T9011001029597]","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/04/28","旅費交通費","","","","1100","100","現金","","","","1100","","タクシー利用料金 [インボイス:T2011501015896","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/04/28","旅費交通費","","","","1500","136","現金","","","","1500","","タクシー利用 [インボイス:T2011501015896]","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/04/29","旅費交通費","","","","800","73","現金","","","","800","","メーター運賃 [インボイス:T4021001032869]","","","","","","0","","","太陽自動車株式会社","太陽自動車株式会社"
"2000","","","2024/05/01","旅費交通費","","","","1600","145","現金","","","","1600","","タクシー利用料金 [インボイス:T2011501015896","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/05/07","旅費交通費","","","","3280","298","現金","","","","3280","","JR乗車券 2枚 [インボイス:T3130001031569","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/05/14","旅費交通費","","","","1500","136","現金","","","","1500","","タクシー利用料金 [インボイス:T2011501015896","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/05/16","旅費交通費","","","","800","73","現金","","","","800","","タクシー利用料金 [インボイス:T2011501015896","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/05/22","旅費交通費","","","","1300","118","現金","","","","1300","","タクシー利用料金 [インボイス:T2011501015896","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/05/22","旅費交通費","","","","800","73","現金","","","","800","","タクシー利用料金 [インボイス:T2011501015896","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/05/24","旅費交通費","","","","1600","145","現金","","","","1600","","タクシー利用料金 [インボイス:T2011501015896","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/05/24","旅費交通費","","","","1600","145","現金","","","","1600","","タクシー代 [インボイス:T4011801004333]","","","","","","0","","","東京七福タクシー（株）","東京七福タクシー（株）"
"2000","","","2024/05/24","旅費交通費","","","","3280","298","現金","","","","3280","","JR乗車券 [インボイス:T90110010235597]","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/05/26","旅費交通費","","","","1274","94","現金","","","","1274","","駅構内店舗での購入 [インボイス:T1880010315]","","","","","","0","","","株式会社JR東海リテイリング・","株式会社JR東海リテイリング・"
"2000","","","2024/05/26","旅費交通費","","","","3280","298","現金","","","","3280","","JR東車券 [インボイス:T3180001031569]","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/05/26","旅費交通費","","","","3280","298","現金","","","","3280","","JR東車券類 [インボイス:T3130000163159]","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/05/27","旅費交通費","","","","3280","298","現金","","","","3280","","JR乗車券（1024 [インボイス:T31800010315","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/02","旅費交通費","","","","6560","596","現金","","","","6560","","JR乗車券4枚購入 [インボイス:T901100102959","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/06/03","旅費交通費","","","","6560","596","現金","","","","6560","","JR乗車券類 4枚 [インボイス:T318000103156","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/06","旅費交通費","","","","6560","596","現金","","","","6560","","乗車券 [インボイス:T1310001031969]","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/10","旅費交通費","","","","1100","100","現金","","","","1100","","タクシー利用料金 [インボイス:T2011501015896","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/06/10","旅費交通費","","","","3280","0","現金","","","","3280","","JR東車券類 (10 [インボイス:T81300010315","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/10","旅費交通費","","","","3280","297","現金","","","","3280","","JR乗車券類2枚 [インボイス:T9011001029597","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/06/11","旅費交通費","","","","1400","127","現金","","","","1400","","タクシー利用料金 [インボイス:T201150101589]","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/06/13","旅費交通費","","","","3280","298","現金","","","","3280","","JR東車券類(501 [インボイス:T31300010315","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/13","旅費交通費","","","","3280","298","現金","","","","3280","","JR乗車券 [インボイス:T9011001029557]","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/06/14","旅費交通費","","","","1600","145","現金","","","","1600","","タクシー利用 [インボイス:T2011501015896]","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/06/17","旅費交通費","","","","3280","298","現金","","","","3280","","JR乗車券類 2枚 [インボイス:T318000103156","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/17","旅費交通費","","","","3280","298","現金","","","","3280","","JR乗車券類 [インボイス:T9011001029597]","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/06/18","旅費交通費","","","","3100","282","現金","","","","3100","","JR乗車券類(402 [インボイス:T31800010315","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
